"Fecha","Unidades"
2012-12-01,375
2012-12-02,3
2012-12-03,971
2012-12-04,1213
2012-12-05,1446
2012-12-06,1556
2012-12-07,1588
2012-12-08,18
2012-12-09,4
2012-12-10,1200
2012-12-11,1550
2012-12-12,1764
2012-12-13,1867
2012-12-14,1960
2012-12-15,433
2012-12-16,4
2012-12-17,1202
2012-12-18,1621
2012-12-19,1854
2012-12-20,1976
2012-12-21,2071
2012-12-22,463
2012-12-23,4
2012-12-24,1147
2012-12-25,59
2012-12-26,1740
2012-12-27,2050
2012-12-28,2331
2012-12-29,620
2012-12-30,6
2012-12-31,1629
2013-01-01,29
2013-01-02,820
2013-01-03,888
2013-01-04,901
2013-01-05,259
2013-01-06,3
2013-01-07,28
2013-01-08,810
2013-01-09,940
2013-01-10,986
2013-01-11,1059
2013-01-12,302
2013-01-13,3
2013-01-14,786
2013-01-15,843
2013-01-16,958
2013-01-17,984
2013-01-18,1034
2013-01-19,300
2013-01-20,3
2013-01-21,788
2013-01-22,905
2013-01-23,1028
2013-01-24,1084
2013-01-25,1120
2013-01-26,327
2013-01-27,3
2013-01-28,852
2013-01-29,1262
2013-01-30,1424
2013-01-31,1493
2013-02-01,962
2013-02-02,268
2013-02-03,3
2013-02-04,705
2013-02-05,908
2013-02-06,1009
2013-02-07,1051
2013-02-08,1077
2013-02-09,308
2013-02-10,3
2013-02-11,807
2013-02-12,1019
2013-02-13,1132
2013-02-14,1172
2013-02-15,1066
2013-02-16,297
2013-02-17,3
2013-02-18,772
2013-02-19,984
2013-02-20,1129
2013-02-21,1187
2013-02-22,1161
2013-02-23,324
2013-02-24,3
2013-02-25,848
2013-02-26,1108
2013-02-27,1230
2013-02-28,1272
2013-03-01,963
2013-03-02,266
2013-03-03,3
2013-03-04,703
2013-03-05,916
2013-03-06,1079
2013-03-07,1082
2013-03-08,1095
2013-03-09,313
2013-03-10,3
2013-03-11,821
2013-03-12,1059
2013-03-13,1188
2013-03-14,1234
2013-03-15,1114
2013-03-16,301
2013-03-17,3
2013-03-18,684
2013-03-19,947
2013-03-20,1109
2013-03-21,1171
2013-03-22,1161
2013-03-23,314
2013-03-24,3
2013-03-25,33
2013-03-26,1111
2013-03-27,1300
2013-03-28,49
2013-03-29,59
2013-03-30,452
2013-03-31,4
2013-04-01,808
2013-04-02,989
2013-04-03,1023
2013-04-04,868
2013-04-05,906
2013-04-06,316
2013-04-07,3
2013-04-08,802
2013-04-09,1110
2013-04-10,1291
2013-04-11,1341
2013-04-12,1378
2013-04-13,384
2013-04-14,4
2013-04-15,838
2013-04-16,1056
2013-04-17,1233
2013-04-18,1223
2013-04-19,1358
2013-04-20,366
2013-04-21,4
2013-04-22,915
2013-04-23,1147
2013-04-24,1322
2013-04-25,1353
2013-04-26,1289
2013-04-27,407
2013-04-28,4
2013-04-29,1298
2013-04-30,1245
2013-05-01,36
2013-05-02,1011
2013-05-03,1077
2013-05-04,298
2013-05-05,3
2013-05-06,800
2013-05-07,1071
2013-05-08,1179
2013-05-09,1220
2013-05-10,1287
2013-05-11,341
2013-05-12,3
2013-05-13,37
2013-05-14,1198
2013-05-15,1137
2013-05-16,1199
2013-05-17,1228
2013-05-18,348
2013-05-19,3
2013-05-20,778
2013-05-21,1075
2013-05-22,1125
2013-05-23,1202
2013-05-24,1285
2013-05-25,361
2013-05-26,3
2013-05-27,941
2013-05-28,1224
2013-05-29,1611
2013-05-30,1668
2013-05-31,1731
2013-06-01,268
2013-06-02,3
2013-06-03,28
2013-06-04,923
2013-06-05,1069
2013-06-06,1122
2013-06-07,1173
2013-06-08,317
2013-06-09,3
2013-06-10,706
2013-06-11,973
2013-06-12,1135
2013-06-13,1219
2013-06-14,1261
2013-06-15,296
2013-06-16,3
2013-06-17,31
2013-06-18,968
2013-06-19,1099
2013-06-20,1181
2013-06-21,1239
2013-06-22,317
2013-06-23,3
2013-06-24,791
2013-06-25,992
2013-06-26,1280
2013-06-27,1336
2013-06-28,1367
2013-06-29,434
2013-06-30,4
2013-07-01,29
2013-07-02,873
2013-07-03,1041
2013-07-04,1080
2013-07-05,1160
2013-07-06,317
2013-07-07,3
2013-07-08,833
2013-07-09,1088
2013-07-10,1213
2013-07-11,1256
2013-07-12,1373
2013-07-13,371
2013-07-14,4
2013-07-15,820
2013-07-16,1012
2013-07-17,1139
2013-07-18,1255
2013-07-19,1008
2013-07-20,15
2013-07-21,3
2013-07-22,859
2013-07-23,1117
2013-07-24,1304
2013-07-25,1336
2013-07-26,1420
2013-07-27,391
2013-07-28,4
2013-07-29,1219
2013-07-30,1508
2013-07-31,1679
2013-08-01,974
2013-08-02,1029
2013-08-03,290
2013-08-04,3
2013-08-05,765
2013-08-06,771
2013-08-07,40
2013-08-08,1103
2013-08-09,1154
2013-08-10,318
2013-08-11,3
2013-08-12,853
2013-08-13,1090
2013-08-14,1221
2013-08-15,1103
2013-08-16,1135
2013-08-17,320
2013-08-18,3
2013-08-19,34
2013-08-20,982
2013-08-21,1134
2013-08-22,1128
2013-08-23,1156
2013-08-24,340
2013-08-25,3
2013-08-26,864
2013-08-27,1145
2013-08-28,1277
2013-08-29,1576
2013-08-30,1645
2013-08-31,452
2013-09-01,3
2013-09-02,717
2013-09-03,899
2013-09-04,1003
2013-09-05,1106
2013-09-06,1137
2013-09-07,325
2013-09-08,3
2013-09-09,853
2013-09-10,1074
2013-09-11,1222
2013-09-12,1292
2013-09-13,1315
2013-09-14,370
2013-09-15,3
2013-09-16,830
2013-09-17,995
2013-09-18,1181
2013-09-19,1236
2013-09-20,1263
2013-09-21,353
2013-09-22,3
2013-09-23,864
2013-09-24,1093
2013-09-25,1268
2013-09-26,1331
2013-09-27,1408
2013-09-28,389
2013-09-29,4
2013-09-30,1162
2013-10-01,937
2013-10-02,1071
2013-10-03,1128
2013-10-04,1179
2013-10-05,327
2013-10-06,3
2013-10-07,906
2013-10-08,1090
2013-10-09,1229
2013-10-10,1284
2013-10-11,1329
2013-10-12,370
2013-10-13,4
2013-10-14,39
2013-10-15,948
2013-10-16,1102
2013-10-17,1114
2013-10-18,1260
2013-10-19,352
2013-10-20,3
2013-10-21,922
2013-10-22,1104
2013-10-23,1247
2013-10-24,1303
2013-10-25,1365
2013-10-26,385
2013-10-27,4
2013-10-28,1012
2013-10-29,1547
2013-10-30,1692
2013-10-31,1728
2013-11-01,1063
2013-11-02,292
2013-11-03,3
2013-11-04,31
2013-11-05,928
2013-11-06,1070
2013-11-07,1158
2013-11-08,1193
2013-11-09,327
2013-11-10,3
2013-11-11,34
2013-11-12,1045
2013-11-13,1219
2013-11-14,1282
2013-11-15,1133
2013-11-16,319
2013-11-17,3
2013-11-18,845
2013-11-19,1092
2013-11-20,1207
2013-11-21,1273
2013-11-22,1251
2013-11-23,351
2013-11-24,3
2013-11-25,933
2013-11-26,1220
2013-11-27,1388
2013-11-28,1476
2013-11-29,1820
2013-11-30,490
2013-12-01,3
2013-12-02,905
2013-12-03,1138
2013-12-04,1357
2013-12-05,1461
2013-12-06,1491
2013-12-07,367
2013-12-08,4
2013-12-09,1075
2013-12-10,1431
2013-12-11,1629
2013-12-12,1724
2013-12-13,1810
2013-12-14,470
2013-12-15,4
2013-12-16,1083
2013-12-17,1500
2013-12-18,1715
2013-12-19,1829
2013-12-20,1916
2013-12-21,463
2013-12-22,4
2013-12-23,1065
2013-12-24,1117
2013-12-25,57
2013-12-26,1799
2013-12-27,2046
2013-12-28,470
2013-12-29,5
2013-12-30,1430
2013-12-31,1538
2014-01-01,31
2014-01-02,771
2014-01-03,862
2014-01-04,259
2014-01-05,2
2014-01-06,27
2014-01-07,751
2014-01-08,944
2014-01-09,992
2014-01-10,1052
2014-01-11,320
2014-01-12,3
2014-01-13,757
2014-01-14,999
2014-01-15,949
2014-01-16,1004
2014-01-17,1029
2014-01-18,312
2014-01-19,3
2014-01-20,750
2014-01-21,964
2014-01-22,1009
2014-01-23,1041
2014-01-24,1104
2014-01-25,334
2014-01-26,3
2014-01-27,804
2014-01-28,1048
2014-01-29,1412
2014-01-30,1465
2014-01-31,1526
2014-02-01,279
2014-02-02,3
2014-02-03,661
2014-02-04,860
2014-02-05,1016
2014-02-06,1049
2014-02-07,1099
2014-02-08,319
2014-02-09,3
2014-02-10,763
2014-02-11,988
2014-02-12,1128
2014-02-13,1178
2014-02-14,1250
2014-02-15,313
2014-02-16,3
2014-02-17,739
2014-02-18,974
2014-02-19,1106
2014-02-20,1159
2014-02-21,1219
2014-02-22,340
2014-02-23,3
2014-02-24,797
2014-02-25,1063
2014-02-26,1212
2014-02-27,1287
2014-02-28,1288
2014-03-01,285
2014-03-02,3
2014-03-03,666
2014-03-04,879
2014-03-05,1013
2014-03-06,1083
2014-03-07,1125
2014-03-08,327
2014-03-09,3
2014-03-10,773
2014-03-11,1021
2014-03-12,1180
2014-03-13,1240
2014-03-14,1304
2014-03-15,330
2014-03-16,3
2014-03-17,766
2014-03-18,978
2014-03-19,1165
2014-03-20,1252
2014-03-21,1339
2014-03-22,362
2014-03-23,3
2014-03-24,35
2014-03-25,1090
2014-03-26,1150
2014-03-27,1075
2014-03-28,1128
2014-03-29,453
2014-03-30,4
2014-03-31,1006
2014-04-01,868
2014-04-02,1078
2014-04-03,1107
2014-04-04,1088
2014-04-05,317
2014-04-06,3
2014-04-07,815
2014-04-08,1058
2014-04-09,1207
2014-04-10,1288
2014-04-11,1343
2014-04-12,396
2014-04-13,4
2014-04-14,920
2014-04-15,1042
2014-04-16,1165
2014-04-17,46
2014-04-18,48
2014-04-19,387
2014-04-20,3
2014-04-21,899
2014-04-22,1112
2014-04-23,1274
2014-04-24,1379
2014-04-25,1438
2014-04-26,407
2014-04-27,4
2014-04-28,1006
2014-04-29,1629
2014-04-30,1345
2014-05-01,39
2014-05-02,1096
2014-05-03,329
2014-05-04,3
2014-05-05,731
2014-05-06,977
2014-05-07,1202
2014-05-08,1258
2014-05-09,1340
2014-05-10,378
2014-05-11,3
2014-05-12,811
2014-05-13,1165
2014-05-14,1356
2014-05-15,1203
2014-05-16,1273
2014-05-17,374
2014-05-18,3
2014-05-19,877
2014-05-20,1107
2014-05-21,1292
2014-05-22,1287
2014-05-23,1335
2014-05-24,401
2014-05-25,4
2014-05-26,966
2014-05-27,1253
2014-05-28,1461
2014-05-29,1801
2014-05-30,1886
2014-05-31,537
2014-06-01,3
2014-06-02,28
2014-06-03,843
2014-06-04,968
2014-06-05,1036
2014-06-06,1109
2014-06-07,324
2014-06-08,3
2014-06-09,673
2014-06-10,893
2014-06-11,1110
2014-06-12,1193
2014-06-13,1255
2014-06-14,374
2014-06-15,3
2014-06-16,35
2014-06-17,915
2014-06-18,1099
2014-06-19,1167
2014-06-20,1247
2014-06-21,366
2014-06-22,3
2014-06-23,34
2014-06-24,1059
2014-06-25,1203
2014-06-26,1343
2014-06-27,1426
2014-06-28,409
2014-06-29,4
2014-06-30,46
2014-07-01,854
2014-07-02,1017
2014-07-03,1092
2014-07-04,1149
2014-07-05,351
2014-07-06,3
2014-07-07,814
2014-07-08,1071
2014-07-09,1231
2014-07-10,1289
2014-07-11,1333
2014-07-12,401
2014-07-13,4
2014-07-14,912
2014-07-15,1037
2014-07-16,1176
2014-07-17,1249
2014-07-18,1313
2014-07-19,344
2014-07-20,3
2014-07-21,918
2014-07-22,1095
2014-07-23,1306
2014-07-24,1363
2014-07-25,1422
2014-07-26,428
2014-07-27,4
2014-07-28,1008
2014-07-29,1560
2014-07-30,1827
2014-07-31,1799
2014-08-01,1113
2014-08-02,334
2014-08-03,3
2014-08-04,780
2014-08-05,1055
2014-08-06,937
2014-08-07,45
2014-08-08,1230
2014-08-09,376
2014-08-10,3
2014-08-11,887
2014-08-12,1187
2014-08-13,1360
2014-08-14,1406
2014-08-15,1240
2014-08-16,365
2014-08-17,3
2014-08-18,37
2014-08-19,1048
2014-08-20,1256
2014-08-21,1317
2014-08-22,1327
2014-08-23,387
2014-08-24,4
2014-08-25,926
2014-08-26,1189
2014-08-27,1409
2014-08-28,1459
2014-08-29,1801
2014-08-30,537
2014-08-31,5
2014-09-01,761
2014-09-02,991
2014-09-03,1127
2014-09-04,1185
2014-09-05,1252
2014-09-06,374
2014-09-07,3
2014-09-08,873
2014-09-09,1187
2014-09-10,1350
2014-09-11,1411
2014-09-12,1477
2014-09-13,432
2014-09-14,4
2014-09-15,879
2014-09-16,1157
2014-09-17,1290
2014-09-18,1375
2014-09-19,1423
2014-09-20,421
2014-09-21,4
2014-09-22,930
2014-09-23,1226
2014-09-24,1420
2014-09-25,1520
2014-09-26,1576
2014-09-27,467
2014-09-28,4
2014-09-29,1302
2014-09-30,1661
2014-10-01,1123
2014-10-02,1248
2014-10-03,1323
2014-10-04,387
2014-10-05,3
2014-10-06,927
2014-10-07,1249
2014-10-08,1358
2014-10-09,1432
2014-10-10,1484
2014-10-11,433
2014-10-12,4
2014-10-13,43
2014-10-14,1228
2014-10-15,1262
2014-10-16,1348
2014-10-17,1387
2014-10-18,426
2014-10-19,4
2014-10-20,1011
2014-10-21,1316
2014-10-22,1402
2014-10-23,1488
2014-10-24,1545
2014-10-25,458
2014-10-26,4
2014-10-27,1103
2014-10-28,1467
2014-10-29,1987
2014-10-30,2191
2014-10-31,2068
2014-11-01,312
2014-11-02,3
2014-11-03,31
2014-11-04,906
2014-11-05,1057
2014-11-06,1158
2014-11-07,1210
2014-11-08,347
2014-11-09,3
2014-11-10,749
2014-11-11,1011
